thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.984244;0.951461;0.852284;0.780864;0.660635;0.289376;0.127828;0.057030;0.026925;0.020831;0.016806;0.013447;
1.000000;0.996518;0.915202;0.833319;0.689928;0.290174;0.126896;0.063214;0.028075;0.015362;0.006106;0.002955;
0.998653;0.983706;0.905860;0.808746;0.662110;0.285308;0.122690;0.054405;0.023515;0.016272;0.011480;0.007311;
1.000000;0.995545;0.898864;0.794379;0.649781;0.240999;0.090551;0.027118;0.003711;0.003213;0.002837;0.002837;
0.999992;0.994127;0.904721;0.811666;0.681089;0.296150;0.149285;0.079371;0.040165;0.022668;0.009924;0.004273;
0.999927;0.990187;0.895712;0.806336;0.670596;0.273190;0.120880;0.045447;0.019180;0.010392;0.005837;0.004506;
0.999823;0.977929;0.872339;0.803834;0.662923;0.313646;0.165399;0.092957;0.056466;0.045600;0.035982;0.025262;
0.999558;0.971225;0.868535;0.784706;0.654543;0.298034;0.132108;0.051533;0.012884;0.006146;0.003316;0.002856;
0.930972;0.876086;0.808863;0.716429;0.543926;0.215336;0.093562;0.043849;0.021784;0.017486;0.011829;0.004056;
0.997024;0.950330;0.862354;0.780346;0.604412;0.219144;0.086025;0.024551;0.003500;0.003240;0.002856;0.002856;
0.998916;0.960425;0.884021;0.805506;0.615144;0.240339;0.102131;0.034204;0.009824;0.004775;0.002862;0.002856;
0.994885;0.932442;0.847510;0.767552;0.595601;0.223653;0.084307;0.025452;0.006375;0.003364;0.002865;0.002856;
0.996063;0.965511;0.862586;0.779977;0.618611;0.259512;0.115819;0.040284;0.011892;0.004036;0.002918;0.002874;
0.996376;0.950776;0.851341;0.783236;0.623114;0.258590;0.100637;0.031184;0.009242;0.003843;0.002870;0.002845;
0.999896;0.978051;0.870333;0.793962;0.599154;0.230827;0.091687;0.027068;0.005459;0.003231;0.002846;0.002846;
0.999048;0.947884;0.855856;0.785033;0.595479;0.253937;0.123905;0.044136;0.014622;0.007316;0.003110;0.002846;
0.999411;0.971378;0.886204;0.792781;0.662337;0.302598;0.147081;0.056679;0.015401;0.008045;0.005062;0.003553;
0.996480;0.977522;0.894266;0.831972;0.672806;0.302509;0.140272;0.052385;0.021451;0.010111;0.004817;0.003337;
0.999331;0.963299;0.851564;0.795104;0.657387;0.326781;0.169378;0.074017;0.026854;0.009532;0.003885;0.003235;
0.999980;0.991803;0.902857;0.817020;0.633626;0.248383;0.094004;0.029494;0.007115;0.003813;0.002874;0.002860;
0.999991;0.994871;0.895560;0.793651;0.609260;0.219779;0.081724;0.023792;0.004580;0.003089;0.002856;0.002856;
0.994741;0.976863;0.903079;0.813486;0.632690;0.241098;0.109224;0.046761;0.018801;0.010958;0.006519;0.003561;
0.998363;0.966339;0.883671;0.809306;0.647103;0.272753;0.120583;0.039270;0.007053;0.003571;0.002960;0.002879;
0.986279;0.942360;0.862772;0.786280;0.613568;0.275051;0.145852;0.069133;0.029277;0.013116;0.005490;0.003503;
0.991951;0.962985;0.871649;0.804697;0.623005;0.268650;0.138074;0.064676;0.033011;0.020222;0.012714;0.004302;
0.999728;0.978810;0.900628;0.822232;0.639631;0.276547;0.128180;0.059602;0.031820;0.020983;0.013397;0.005704;
0.992681;0.928138;0.839149;0.776695;0.610872;0.286822;0.128885;0.048133;0.015842;0.006238;0.003529;0.002831;
