thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240
0,927624;0,79502;0,683988;0,489294;0,339111;0,15238;0;0
0,92583;0,804655;0,679141;0,484173;0,331494;0,148747;0;0
0,930752;0,796107;0,682858;0,484984;0,333932;0,143636;0,000007;0
0,923516;0,795459;0,681429;0,482604;0,321094;0,141878;0;0
0,922298;0,79389;0,669378;0,473958;0,316556;0,140814;0;0
0,918665;0,789453;0,674453;0,473242;0,312458;0,139391;0;0
0,918258;0,782227;0,664743;0,463929;0,310511;0,139414;0;0
0,915426;0,781429;0,666276;0,461139;0,310856;0,139557;0;0
0,913265;0,775267;0,661201;0,459245;0,312507;0,142035;0;0
0,912201;0,773301;0,659766;0,453812;0,306641;0,1396;0;0
0,912523;0,774154;0,660146;0,451501;0,305352;0,137607;0;0
0,912738;0,774206;0,661042;0,453851;0,307432;0,139238;0;0
0,913737;0,774961;0,658164;0,456888;0,312155;0,142633;0;0
0,914805;0,775911;0,658102;0,455674;0,311185;0,140765;0;0
0,915228;0,775837;0,657956;0,45682;0,311865;0,141829;0;0
0,914326;0,774681;0,65986;0,456354;0,310661;0,142275;0;0
0,91221;0,772754;0,665521;0,46056;0,308542;0,141045;0;0
0,91153;0,771937;0,667754;0,469404;0,31109;0,141553;0;0
0,911497;0,772145;0,663796;0,472064;0,31236;0,142637;0;0
0,911621;0,771488;0,664284;0,474225;0,312318;0,139056;0;0
0,912998;0,773239;0,663525;0,466859;0,315361;0,140742;0;0
0,914326;0,774212;0,662572;0,460654;0,314499;0,140413;0;0
0,914313;0,774105;0,662637;0,464593;0,318109;0,13847;0;0
0,915173;0,775785;0,664889;0,467917;0,311361;0,135306;0;0
0,916003;0,775332;0,666908;0,469414;0,313796;0,134935;0,000003;0
0,921387;0,78083;0,677536;0,487578;0,312018;0,136351;0;0
0,925765;0,788174;0,680719;0,491429;0,325755;0,140186;0;0
0,923467;0,786699;0,680254;0,486136;0,314414;0,136022;0;0
0,922301;0,788278;0,68402;0,479069;0,310394;0,131243;0;0
0,921481;0,78766;0,679889;0,477822;0,322415;0,137347;0;0
0,924251;0,790618;0,686865;0,487282;0,312624;0,130645;0;0
0,925645;0,789922;0,685283;0,482217;0,312285;0,128232;0;0
0,923008;0,792904;0,686992;0,482031;0,310039;0,127441;0;0
0,91971;0,782002;0,67597;0,488841;0,312152;0,126429;0;0
0,918887;0,781768;0,675166;0,495583;0,313431;0,127096;0;0
0,924736;0,784635;0,672282;0,465866;0,310306;0,125758;0;0
0,928737;0,801686;0,68069;0,479775;0,308558;0,131497;0;0
0,927884;0,792269;0,679948;0,482633;0,31016;0,130163;0;0
0,925547;0,79141;0,674814;0,483076;0,310221;0,129359;0,000013;0
0,925804;0,787425;0,683125;0,48707;0,315387;0,131341;0;0
0,923434;0,788646;0,686432;0,493229;0,31749;0,129714;0;0
0,919899;0,787617;0,677725;0,510804;0,333499;0,133984;0,000029;0
0,920081;0,788737;0,679395;0,507324;0,327952;0,134414;0,00001;0
0,919202;0,782767;0,677601;0,497702;0,322044;0,136608;0,000146;0
0,918089;0,783398;0,676045;0,487549;0,32319;0,132389;0,00001;0
0,926328;0,783978;0,682441;0,485615;0,317848;0,135169;0;0
0,922327;0,786865;0,680892;0,479492;0,321257;0,137952;0;0
0,924001;0,787585;0,68347;0,48542;0,312712;0,133779;0,000023;0
0,924219;0,787347;0,675127;0,476289;0,315804;0,134202;0;0
0,922868;0,791764;0,685443;0,472962;0,314535;0,139993;0;0
0,923229;0,78763;0,673034;0,471429;0,318249;0,140527;0;0
0,923385;0,785459;0,673298;0,469082;0,316963;0,143984;0;0
0,923493;0,784424;0,669069;0,46665;0,31609;0,143346;0;0
