thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.052900;0.015739;0.002116;0.000218;0.000005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.070520;0.036042;0.016851;0.007018;0.004669;0.003380;0.001517;0.000074;0.000002;0.000000;0.000000;0.000000;
0.094328;0.051624;0.033279;0.024796;0.018528;0.012965;0.007398;0.004242;0.002338;0.000195;0.000000;0.000000;
0.162278;0.095792;0.061121;0.037957;0.023273;0.014027;0.006265;0.003267;0.001642;0.000516;0.000087;0.000000;
0.060472;0.024507;0.009105;0.002014;0.000391;0.000016;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.159638;0.104347;0.070126;0.043072;0.021276;0.012171;0.005842;0.001851;0.000227;0.000000;0.000000;0.000000;
0.092696;0.044262;0.023162;0.013078;0.007661;0.003204;0.000313;0.000020;0.000000;0.000000;0.000000;0.000000;
0.104227;0.043475;0.011426;0.002726;0.000215;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.142757;0.074117;0.041279;0.023776;0.013541;0.007823;0.003096;0.000843;0.000002;0.000000;0.000000;0.000000;
0.050898;0.016927;0.007018;0.002856;0.002029;0.001655;0.001352;0.001044;0.000401;0.000000;0.000000;0.000000;
0.093511;0.041196;0.017211;0.005347;0.000703;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.098072;0.045765;0.020316;0.005686;0.000662;0.000012;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.238432;0.133605;0.080173;0.045729;0.021099;0.009379;0.003650;0.001470;0.000500;0.000010;0.000000;0.000000;
0.142217;0.069716;0.031479;0.013127;0.003860;0.000716;0.000049;0.000000;0.000000;0.000000;0.000000;0.000000;
0.110063;0.049542;0.023989;0.009948;0.004670;0.001853;0.000697;0.000000;0.000000;0.000000;0.000000;0.000000;
0.208631;0.126693;0.075319;0.045566;0.028156;0.018624;0.012208;0.006440;0.001145;0.000000;0.000000;0.000000;
0.242488;0.138305;0.074670;0.036925;0.015761;0.007407;0.003062;0.000119;0.000000;0.000000;0.000000;0.000000;
0.157394;0.081392;0.046132;0.024269;0.011492;0.004702;0.000892;0.000049;0.000000;0.000000;0.000000;0.000000;
0.189805;0.118502;0.085948;0.064887;0.049995;0.036613;0.027242;0.013066;0.001146;0.000002;0.000000;0.000000;
0.116255;0.055956;0.030050;0.011456;0.000877;0.000004;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.074504;0.038709;0.018079;0.004916;0.000299;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.174478;0.086012;0.041075;0.020983;0.010036;0.003052;0.000277;0.000000;0.000000;0.000000;0.000000;0.000000;
0.071000;0.029811;0.015738;0.005412;0.000794;0.000048;0.000026;0.000025;0.000009;0.000000;0.000000;0.000000;
0.101374;0.054991;0.029109;0.016019;0.009941;0.005554;0.001919;0.000168;0.000000;0.000000;0.000000;0.000000;
0.167691;0.100520;0.058262;0.034567;0.018407;0.008440;0.005916;0.004791;0.003557;0.001951;0.000093;0.000000;
0.119600;0.055877;0.016906;0.003293;0.000100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.116442;0.054215;0.021478;0.010469;0.005069;0.002655;0.000243;0.000000;0.000000;0.000000;0.000000;0.000000;
0.116252;0.068238;0.042343;0.026522;0.018977;0.014073;0.009134;0.005624;0.004143;0.003129;0.001825;0.000003;
0.062131;0.026239;0.009302;0.002964;0.000470;0.000079;0.000050;0.000047;0.000007;0.000000;0.000000;0.000000;
0.087278;0.043305;0.018885;0.007955;0.002910;0.000321;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.178073;0.097076;0.056727;0.031252;0.015064;0.005146;0.000404;0.000000;0.000000;0.000000;0.000000;0.000000;
0.094745;0.044167;0.015454;0.004120;0.001088;0.000012;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.169922;0.093217;0.048972;0.027063;0.014160;0.006714;0.004360;0.002176;0.000296;0.000000;0.000000;0.000000;
0.097115;0.054059;0.031529;0.017738;0.009071;0.004174;0.000785;0.000002;0.000000;0.000000;0.000000;0.000000;
0.075455;0.032010;0.008961;0.001914;0.000126;0.000055;0.000030;0.000014;0.000000;0.000000;0.000000;0.000000;
0.119489;0.069950;0.043993;0.024843;0.010140;0.001641;0.000197;0.000000;0.000000;0.000000;0.000000;0.000000;
0.261761;0.170709;0.105909;0.060076;0.029066;0.013200;0.004278;0.001337;0.000641;0.000433;0.000265;0.000033;
0.235354;0.148915;0.092235;0.058205;0.033851;0.018619;0.008813;0.004230;0.001702;0.001073;0.000764;0.000547;
0.232010;0.126249;0.074959;0.035271;0.013659;0.003137;0.000143;0.000000;0.000000;0.000000;0.000000;0.000000;
0.116640;0.054311;0.024313;0.009119;0.002748;0.001017;0.000150;0.000000;0.000000;0.000000;0.000000;0.000000;
0.143777;0.086105;0.051305;0.032144;0.016173;0.006705;0.001800;0.000061;0.000000;0.000000;0.000000;0.000000;
0.060252;0.026293;0.010545;0.004924;0.002044;0.000757;0.000305;0.000071;0.000000;0.000000;0.000000;0.000000;
0.082480;0.037677;0.011149;0.002412;0.000520;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.081335;0.050536;0.035827;0.022707;0.013773;0.008336;0.003923;0.000917;0.000130;0.000000;0.000000;0.000000;
0.105046;0.053324;0.024475;0.011165;0.005025;0.002263;0.000303;0.000008;0.000000;0.000000;0.000000;0.000000;
0.070449;0.030258;0.015609;0.007534;0.002359;0.000009;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.141711;0.087215;0.055316;0.032228;0.019308;0.007209;0.001795;0.000530;0.000000;0.000000;0.000000;0.000000;
0.133070;0.070597;0.038630;0.026009;0.021050;0.016761;0.013668;0.010930;0.003396;0.000062;0.000000;0.000000;
0.173793;0.092541;0.059967;0.036571;0.019592;0.011438;0.006568;0.001631;0.000012;0.000000;0.000000;0.000000;
0.153745;0.077347;0.043220;0.025290;0.015726;0.010887;0.006388;0.003227;0.001463;0.000206;0.000000;0.000000;
0.071556;0.030540;0.014776;0.004889;0.000092;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.151957;0.101194;0.071021;0.045609;0.025687;0.012522;0.003563;0.000653;0.000000;0.000000;0.000000;0.000000;
0.129697;0.078116;0.047457;0.027342;0.011413;0.006469;0.005118;0.003600;0.000864;0.000000;0.000000;0.000000;
0.186037;0.117367;0.090125;0.070577;0.054963;0.041979;0.034629;0.025528;0.015103;0.002911;0.000012;0.000000;
0.113095;0.054499;0.024205;0.006817;0.000472;0.000023;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.069622;0.041672;0.025632;0.019052;0.014351;0.009765;0.005391;0.000748;0.000000;0.000000;0.000000;0.000000;
0.077882;0.034966;0.016041;0.007329;0.001565;0.000033;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.143441;0.078612;0.034963;0.011630;0.002446;0.000086;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.092543;0.050337;0.023829;0.010313;0.002001;0.000044;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.125725;0.076649;0.041050;0.017928;0.006718;0.002419;0.000686;0.000000;0.000000;0.000000;0.000000;0.000000;
0.126904;0.055697;0.020928;0.004492;0.000579;0.000197;0.000017;0.000000;0.000000;0.000000;0.000000;0.000000;
0.096017;0.043396;0.015180;0.004441;0.000831;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.174499;0.098370;0.056246;0.032005;0.015483;0.006666;0.002437;0.000110;0.000000;0.000000;0.000000;0.000000;
0.191028;0.098670;0.050482;0.022374;0.009971;0.004045;0.002527;0.001824;0.000957;0.000047;0.000000;0.000000;
0.184685;0.104807;0.065119;0.038786;0.022569;0.011138;0.003464;0.000141;0.000000;0.000000;0.000000;0.000000;
0.239170;0.137581;0.084264;0.043649;0.021933;0.006760;0.000483;0.000258;0.000000;0.000000;0.000000;0.000000;
0.160431;0.064081;0.030297;0.012718;0.003281;0.000048;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;
0.092444;0.032622;0.012996;0.005192;0.000310;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.134325;0.083076;0.049663;0.025113;0.012496;0.006947;0.002762;0.001324;0.000489;0.000008;0.000000;0.000000;
0.161529;0.074769;0.023854;0.005245;0.002089;0.000564;0.000259;0.000099;0.000000;0.000000;0.000000;0.000000;
0.162521;0.099891;0.056609;0.034470;0.020067;0.012967;0.007637;0.003362;0.000862;0.000222;0.000000;0.000000;
0.197769;0.126124;0.078363;0.042203;0.018184;0.004486;0.000137;0.000000;0.000000;0.000000;0.000000;0.000000;
0.195461;0.110690;0.064321;0.039421;0.023610;0.012588;0.006289;0.001545;0.000022;0.000001;0.000000;0.000000;
