thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.999698;0.976493;0.878416;0.787651;0.651510;0.278383;0.111349;0.030561;0.004418;0.003229;
0.999817;0.984886;0.890360;0.798424;0.656301;0.275616;0.114561;0.035319;0.005416;0.003277;
0.999837;0.984714;0.898133;0.803796;0.660053;0.263945;0.118702;0.055240;0.024814;0.020163;
0.992109;0.956400;0.885852;0.781521;0.633865;0.230449;0.089095;0.026066;0.003492;0.003205;
0.997645;0.966184;0.863759;0.777174;0.652399;0.269617;0.116122;0.044519;0.012601;0.006667;
0.999768;0.984186;0.895584;0.819032;0.690710;0.300442;0.130441;0.049937;0.014893;0.005519;
0.999797;0.986044;0.886885;0.793636;0.656580;0.258487;0.102183;0.034941;0.004632;0.003321;
0.999628;0.977139;0.881944;0.798538;0.673485;0.306032;0.137888;0.056936;0.019056;0.008801;
0.999456;0.976519;0.897244;0.809995;0.655669;0.262347;0.104953;0.041521;0.015217;0.009013;
0.994656;0.947951;0.856079;0.771909;0.635800;0.255306;0.102250;0.031663;0.004485;0.003295;
0.999983;0.990954;0.888925;0.798496;0.664634;0.293313;0.142559;0.064553;0.026676;0.007033;
0.998648;0.972575;0.901822;0.836143;0.693799;0.359080;0.206835;0.124320;0.069172;0.034880;
0.993628;0.943707;0.884911;0.823214;0.659368;0.342462;0.177910;0.099435;0.052740;0.026533;
0.990873;0.957293;0.882663;0.806068;0.658730;0.316224;0.153575;0.073356;0.024084;0.008524;
0.999979;0.982133;0.892958;0.792702;0.615371;0.236796;0.096493;0.035000;0.009160;0.004133;
0.999996;0.986480;0.902247;0.812968;0.635018;0.251899;0.114679;0.046468;0.013340;0.004687;
0.999985;0.990558;0.891723;0.783996;0.613554;0.226625;0.085738;0.024413;0.004221;0.003875;
0.984227;0.947548;0.857412;0.773121;0.614993;0.250753;0.102061;0.027744;0.003741;0.003104;
0.999817;0.979240;0.880392;0.798392;0.651070;0.250661;0.110295;0.042185;0.014580;0.007870;
0.996079;0.969327;0.865103;0.773566;0.641517;0.277248;0.117831;0.045251;0.016613;0.009576;
0.999570;0.985897;0.879540;0.787811;0.642145;0.245076;0.090913;0.026906;0.005025;0.003164;
0.999996;0.994654;0.888136;0.803625;0.676862;0.300095;0.144041;0.071977;0.031941;0.010638;
0.984244;0.951461;0.852284;0.780864;0.660635;0.289376;0.127828;0.057030;0.026925;0.020831;
1.000000;0.996518;0.915202;0.833319;0.689928;0.290174;0.126896;0.063214;0.028075;0.015362;
0.998653;0.983706;0.905860;0.808746;0.662110;0.285308;0.122690;0.054405;0.023515;0.016272;
1.000000;0.995545;0.898864;0.794379;0.649781;0.240999;0.090551;0.027118;0.003711;0.003213;
0.999992;0.994127;0.904721;0.811666;0.681089;0.296150;0.149285;0.079371;0.040165;0.022668;
0.999927;0.990187;0.895712;0.806336;0.670596;0.273190;0.120880;0.045447;0.019180;0.010392;
0.999823;0.977929;0.872339;0.803834;0.662923;0.313646;0.165399;0.092957;0.056466;0.045600;
0.999558;0.971225;0.868535;0.784706;0.654543;0.298034;0.132108;0.051533;0.012884;0.006146;
0.930972;0.876086;0.808863;0.716429;0.543926;0.215336;0.093562;0.043849;0.021784;0.017486;
0.997024;0.950330;0.862354;0.780346;0.604412;0.219144;0.086025;0.024551;0.003500;0.003240;
0.998916;0.960425;0.884021;0.805506;0.615144;0.240339;0.102131;0.034204;0.009824;0.004775;
0.994885;0.932442;0.847510;0.767552;0.595601;0.223653;0.084307;0.025452;0.006375;0.003364;
0.996063;0.965511;0.862586;0.779977;0.618611;0.259512;0.115819;0.040284;0.011892;0.004036;
0.996376;0.950776;0.851341;0.783236;0.623114;0.258590;0.100637;0.031184;0.009242;0.003843;
0.999896;0.978051;0.870333;0.793962;0.599154;0.230827;0.091687;0.027068;0.005459;0.003231;
0.999048;0.947884;0.855856;0.785033;0.595479;0.253937;0.123905;0.044136;0.014622;0.007316;
0.999411;0.971378;0.886204;0.792781;0.662337;0.302598;0.147081;0.056679;0.015401;0.008045;
0.996480;0.977522;0.894266;0.831972;0.672806;0.302509;0.140272;0.052385;0.021451;0.010111;
0.999331;0.963299;0.851564;0.795104;0.657387;0.326781;0.169378;0.074017;0.026854;0.009532;
0.999980;0.991803;0.902857;0.817020;0.633626;0.248383;0.094004;0.029494;0.007115;0.003813;
0.999991;0.994871;0.895560;0.793651;0.609260;0.219779;0.081724;0.023792;0.004580;0.003089;
0.994741;0.976863;0.903079;0.813486;0.632690;0.241098;0.109224;0.046761;0.018801;0.010958;
0.998363;0.966339;0.883671;0.809306;0.647103;0.272753;0.120583;0.039270;0.007053;0.003571;
0.986279;0.942360;0.862772;0.786280;0.613568;0.275051;0.145852;0.069133;0.029277;0.013116;
0.991951;0.962985;0.871649;0.804697;0.623005;0.268650;0.138074;0.064676;0.033011;0.020222;
0.999728;0.978810;0.900628;0.822232;0.639631;0.276547;0.128180;0.059602;0.031820;0.020983;
0.992681;0.928138;0.839149;0.776695;0.610872;0.286822;0.128885;0.048133;0.015842;0.006238;
0.999721;0.980552;0.906381;0.828666;0.630258;0.264589;0.131847;0.068993;0.029370;0.009583;
0.997401;0.955748;0.881436;0.800773;0.607123;0.239529;0.113102;0.045669;0.018493;0.009997;
0.998882;0.961160;0.867567;0.796063;0.629000;0.255569;0.111190;0.041157;0.013050;0.005113;
0.998516;0.968039;0.880578;0.793048;0.629944;0.255758;0.101566;0.030494;0.006002;0.003178;
0.999342;0.975841;0.883633;0.804875;0.634542;0.259617;0.111876;0.043831;0.017646;0.007646;
0.999992;0.991862;0.898258;0.806044;0.628868;0.237324;0.086449;0.027945;0.006592;0.004127;
0.999783;0.984071;0.888594;0.793461;0.637547;0.247801;0.101530;0.034149;0.012109;0.005289;
0.999928;0.986122;0.910152;0.815716;0.651423;0.258908;0.117202;0.049666;0.019653;0.009073;
0.999791;0.980815;0.901330;0.804365;0.623051;0.233405;0.084865;0.024632;0.005233;0.003229;
0.995277;0.941727;0.863957;0.790860;0.624872;0.253095;0.110143;0.038207;0.011580;0.004020;
0.999985;0.986840;0.875372;0.796710;0.609006;0.216079;0.078244;0.021444;0.003349;0.003237;
0.998330;0.951540;0.849958;0.777989;0.630862;0.278163;0.129070;0.048516;0.012469;0.004556;
0.999992;0.996611;0.908095;0.824199;0.667019;0.300298;0.174541;0.107923;0.071208;0.053305;
0.999836;0.979147;0.875371;0.792804;0.606086;0.237405;0.103503;0.039695;0.009555;0.003596;
0.999934;0.982984;0.880704;0.789925;0.609877;0.219104;0.077186;0.019220;0.003316;0.003226;
0.999377;0.975908;0.897345;0.818009;0.645388;0.274650;0.146480;0.086911;0.060380;0.047478;
0.999616;0.974762;0.893698;0.829936;0.656303;0.278076;0.131110;0.063156;0.028520;0.014117;
0.982269;0.939659;0.881655;0.819013;0.636172;0.308630;0.148711;0.060564;0.018247;0.004003;
0.983371;0.929608;0.846502;0.776939;0.629883;0.296144;0.132743;0.043827;0.006845;0.003339;
0.977600;0.925608;0.855482;0.776583;0.564831;0.213105;0.090653;0.027367;0.005256;0.003515;
0.999859;0.978095;0.884081;0.795293;0.618045;0.245875;0.110020;0.046203;0.021310;0.012614;
0.999859;0.979345;0.892016;0.811782;0.629784;0.263277;0.128481;0.060652;0.028994;0.016845;
0.998011;0.967569;0.866117;0.782116;0.592199;0.222368;0.092517;0.027031;0.005888;0.003258;
